year.harvest,complexity,reef.name,transect,quadrat,size.mm
2016,moderate,w2.200r1,120,10,27
2016,moderate,w2.200r1,120,10,29
2016,moderate,w2.200r1,0,15,34
2016,moderate,w2.200r1,0,15,24
2016,moderate,w2.200r1,0,15,54
2016,moderate,w2.200r1,0,15,32
2016,moderate,w2.200r1,0,15,24
2016,moderate,w2.200r1,0,15,22
2016,moderate,w2.200r1,0,15,35
2016,moderate,w2.200r1,0,15,38
2016,moderate,w2.200r1,0,15,28
2016,moderate,w2.200r1,0,15,40
2016,moderate,w2.200r1,0,15,36
2016,moderate,w2.200r1,0,15,40
2016,moderate,w2.200r1,0,15,29
2016,moderate,w2.200r1,0,15,27
2016,moderate,w2.200r1,0,15,35
2016,moderate,w2.200r1,0,15,19
2016,moderate,w2.200r1,0,15,19
2016,moderate,w2.200r1,0,15,46
2016,moderate,w2.200r1,0,15,32
2016,moderate,w2.200r1,0,15,11
2016,moderate,w2.200r1,0,15,32
2016,moderate,w2.200r1,0,15,47
2016,moderate,w2.200r1,0,15,10
2016,moderate,w2.200r1,0,15,18
2016,moderate,w2.200r1,0,15,25
2016,moderate,w2.200r1,0,15,15
2016,moderate,w2.200r1,0,15,18
2016,moderate,w2.200r1,0,15,33
2016,moderate,w2.200r1,0,15,39
2016,moderate,w2.200r1,0,15,41
2016,moderate,w2.200r1,0,15,24
2016,moderate,w2.200r1,0,15,26
2016,moderate,w2.200r1,0,15,33
2016,moderate,w2.200r1,0,15,27
2016,moderate,w2.200r1,240,20,46
2016,moderate,w2.200r1,240,20,42
2016,moderate,w2.200r1,240,20,39
2016,moderate,w2.200r1,240,20,43
2016,moderate,w2.200r1,240,20,29
2016,moderate,w2.200r1,240,20,30
2016,moderate,w2.200r1,240,20,53
2016,moderate,w2.200r1,240,20,60
2016,moderate,w2.200r1,240,20,34
2016,moderate,w2.200r1,240,20,41
2016,moderate,w2.200r1,240,20,28
2016,moderate,w2.200r1,240,20,36
2016,moderate,w2.200r1,240,20,57
2016,moderate,w2.200r1,240,20,56
2016,moderate,w2.200r1,240,20,65
2016,moderate,w2.200r1,240,20,65
2016,moderate,w2.200r1,240,20,35
2016,moderate,w2.200r1,240,20,44
2016,moderate,w2.200r1,240,20,28
2016,moderate,w2.200r1,240,20,42
2016,moderate,w2.200r1,240,20,35
2016,moderate,w2.200r1,240,20,34
2016,moderate,w2.200r1,240,20,70
2016,moderate,w2.200r1,240,20,45
2016,moderate,w2.200r1,240,20,39
2016,moderate,w2.200r1,240,20,54
2016,moderate,w2.200r1,240,20,37
2016,moderate,w2.200r1,240,20,30
2016,moderate,w2.200r1,240,20,36
2016,moderate,w2.200r1,240,20,20
2016,moderate,w2.200r1,240,20,42
2016,moderate,w2.200r1,240,20,52
2016,moderate,w2.200r1,240,20,58
2016,moderate,w2.200r1,240,20,28
2016,moderate,w2.200r1,240,20,54
2016,moderate,w2.200r1,240,20,30
2016,moderate,w2.200r1,240,20,34
2016,moderate,w2.200r1,240,20,42
2016,moderate,w2.200r1,240,20,41
2016,moderate,w2.200r1,240,20,34
2016,moderate,w2.200r1,240,20,35
2016,moderate,w2.200r1,240,20,63
2016,moderate,w2.200r1,240,20,43
2016,moderate,w2.200r1,240,20,50
2016,moderate,w2.200r1,240,20,24
2016,moderate,w2.200r1,240,20,46
2016,moderate,w2.200r1,240,20,48
2016,moderate,w2.200r1,240,20,38
2016,moderate,w2.200r1,240,20,38
2016,moderate,w2.200r1,240,20,35
2016,moderate,w2.200r1,240,20,27
2016,moderate,w2.200r1,240,20,38
2016,moderate,w2.200r1,240,20,66
2016,moderate,w2.200r1,240,20,73
2016,moderate,w2.200r1,240,20,73
2016,moderate,w2.200r1,240,20,38
2016,moderate,w2.200r1,240,20,32
2016,moderate,w2.200r1,240,20,71
2016,moderate,w2.200r1,240,20,59
2016,moderate,w2.200r1,240,20,80
2016,moderate,w2.200r1,240,20,32
2016,moderate,w2.200r1,240,20,45
2016,moderate,w2.200r1,240,20,50
2016,moderate,w2.200r1,240,20,62
2016,moderate,w2.200r1,240,20,63
2016,moderate,w2.200r1,240,20,56
2016,moderate,w2.200r1,240,20,58
2016,moderate,w2.200r1,240,20,56
2016,moderate,w2.200r1,240,20,61
2016,moderate,w2.200r1,240,20,72
2016,moderate,w2.200r1,240,20,57
2016,moderate,w2.200r1,240,20,52
2016,moderate,w2.200r1,240,20,53
2016,moderate,w2.200r1,240,20,42
2016,moderate,w2.200r1,240,20,51
2016,moderate,w2.200r1,240,20,52
2016,moderate,w2.200r1,240,20,64
2016,moderate,w2.200r1,240,20,49
2016,moderate,w2.200r1,240,20,17
2016,moderate,w2.200r1,240,20,66
2016,moderate,w2.200r1,240,20,68
2016,moderate,w2.200r1,240,20,72
2016,moderate,w2.200r1,240,20,64
2016,moderate,w2.200r1,240,20,48
2016,moderate,w2.200r1,240,20,42
2016,moderate,w2.200r1,240,20,53
2016,moderate,w2.200r1,240,20,54
2016,moderate,w2.200r1,240,20,59
2016,moderate,w2.200r1,240,20,12
2016,moderate,w2.200r1,240,20,66
2016,moderate,w2.200r1,240,20,60
2016,moderate,w2.200r1,240,20,36
2016,moderate,w2.200r1,240,20,50
2016,moderate,w2.200r1,240,20,47
2016,moderate,w2.200r1,240,20,24
2016,moderate,w2.200r1,240,20,34
2016,moderate,w2.200r1,240,20,24
2016,moderate,w2.200r1,240,20,29
2016,moderate,w2.200r1,240,20,25
2016,moderate,w2.200r1,240,20,64
2016,moderate,w2.200r1,240,20,50
2016,moderate,w2.200r1,240,20,51
2016,moderate,w2.200r1,240,20,43
2016,moderate,w2.200r1,240,20,17
2016,moderate,w2.200r1,240,20,26
2016,moderate,w2.200r1,240,20,37
2016,moderate,w2.200r1,240,20,56
2016,moderate,w2.200r1,240,20,45
2016,moderate,w2.200r1,240,20,64
2016,moderate,w2.200r1,240,20,37
2016,moderate,w2.200r1,240,20,27
2016,moderate,w2.200r1,240,20,30
2016,moderate,w2.200r1,240,20,41
2016,moderate,w2.200r1,240,20,35
2016,moderate,w2.200r1,240,20,64
2016,moderate,w2.200r1,240,20,27
2016,moderate,w2.200r1,240,20,18
2016,moderate,w2.200r1,240,20,59
2016,moderate,w2.200r1,240,20,48
2016,moderate,w2.200r1,240,20,62
2016,moderate,w2.200r1,240,20,47
2016,moderate,w2.200r1,240,15,60
2016,moderate,w2.200r1,240,15,55
